"id";"id_type";"status";"expiry_date";"created_at";"updated_at"
"2001";"0";"0";NULL;NULL;NULL
"2002";"0";"0";NULL;NULL;NULL
"2003";"0";"0";NULL;NULL;NULL
"2004";"0";"0";NULL;NULL;NULL
"2005";"0";"0";NULL;NULL;NULL
"2006";"0";"0";NULL;NULL;NULL
"2007";"0";"0";NULL;NULL;NULL
"2008";"0";"0";NULL;NULL;NULL
"2009";"0";"0";NULL;NULL;NULL
"2010";"0";"0";NULL;NULL;NULL
"3001";"0";"0";NULL;NULL;NULL
"3002";"0";"0";NULL;NULL;NULL
"3003";"0";"0";NULL;NULL;NULL
"3004";"0";"0";NULL;NULL;NULL
"3005";"0";"0";NULL;NULL;NULL
"3006";"0";"0";NULL;NULL;NULL
"3007";"0";"0";NULL;NULL;NULL
"3008";"0";"0";NULL;NULL;NULL
"3009";"0";"0";NULL;NULL;NULL
"3010";"0";"0";NULL;NULL;NULL
"4001";"0";"0";NULL;NULL;NULL
"4002";"0";"0";NULL;NULL;NULL
"4003";"0";"0";NULL;NULL;NULL
"4004";"0";"0";NULL;NULL;NULL
"4005";"0";"0";NULL;NULL;NULL
"4006";"0";"0";NULL;NULL;NULL
"4007";"0";"0";NULL;NULL;NULL
"4008";"0";"0";NULL;NULL;NULL
"4009";"0";"0";NULL;NULL;NULL
"4010";"0";"0";NULL;NULL;NULL
"5001";"0";"0";NULL;NULL;NULL
"5002";"0";"0";NULL;NULL;NULL
"5003";"0";"0";NULL;NULL;NULL
"5004";"0";"0";NULL;NULL;NULL
"5005";"0";"0";NULL;NULL;NULL
"5006";"0";"0";NULL;NULL;NULL
"5007";"0";"0";NULL;NULL;NULL
"5008";"0";"0";NULL;NULL;NULL
"5009";"0";"0";NULL;NULL;NULL
"5010";"0";"0";NULL;NULL;NULL
"6001";"0";"0";NULL;NULL;NULL
"6002";"0";"0";NULL;NULL;NULL
"6003";"0";"0";NULL;NULL;NULL
"6004";"0";"0";NULL;NULL;NULL
"6005";"0";"0";NULL;NULL;NULL
"6006";"0";"0";NULL;NULL;NULL
"6007";"0";"0";NULL;NULL;NULL
"6008";"0";"0";NULL;NULL;NULL
"6009";"0";"0";NULL;NULL;NULL
"6010";"0";"0";NULL;NULL;NULL
"7001";"0";"0";NULL;NULL;NULL
"7002";"0";"0";NULL;NULL;NULL
"7003";"0";"0";NULL;NULL;NULL
"7004";"0";"0";NULL;NULL;NULL
"7005";"0";"0";NULL;NULL;NULL
"7006";"0";"0";NULL;NULL;NULL
"7007";"0";"0";NULL;NULL;NULL
"7008";"0";"0";NULL;NULL;NULL
"7009";"0";"0";NULL;NULL;NULL
"7010";"0";"0";NULL;NULL;NULL
"8001";"0";"0";NULL;NULL;NULL
"8002";"0";"0";NULL;NULL;NULL
"8003";"0";"0";NULL;NULL;NULL
"8004";"0";"0";NULL;NULL;NULL
"8005";"0";"0";NULL;NULL;NULL
"8006";"0";"0";NULL;NULL;NULL
"8007";"0";"0";NULL;NULL;NULL
"8008";"0";"0";NULL;NULL;NULL
"8009";"0";"0";NULL;NULL;NULL
"8010";"0";"0";NULL;NULL;NULL
"9001";"0";"0";NULL;NULL;NULL
"9002";"0";"0";NULL;NULL;NULL
"9003";"0";"0";NULL;NULL;NULL
"9004";"0";"0";NULL;NULL;NULL
"9005";"0";"0";NULL;NULL;NULL
"9006";"0";"0";NULL;NULL;NULL
"9007";"0";"0";NULL;NULL;NULL
"9008";"0";"0";NULL;NULL;NULL
"9009";"0";"0";NULL;NULL;NULL
"9010";"0";"0";NULL;NULL;NULL
